country,city,latitude,longitude,temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,sunrise,sunset,timezone,cloud,description,region,population,date
NG,Ohunene,7.43,6.76,312.82,312.82,312.82,1006,31,1006,992,1.39,184,2024-02-21 05:49:06,2024-02-21 17:44:33,3600,25,Clouds,Kogi,11111,2024-02-21
NG,Bugana,8.0,7.58,312.84,312.84,312.84,1005,30,1005,994,1.55,25,2024-02-21 05:46:15,2024-02-21 17:40:50,3600,44,Clouds,Kogi,10305,2024-02-21
NG,Ete,7.31,7.3,311.59,311.59,311.59,1006,31,1006,979,1.86,230,2024-02-21 05:46:51,2024-02-21 17:42:29,3600,54,Clouds,Kogi,11035,2024-02-21
NG,Dekina,7.89,7.11,313.53,313.53,313.53,1005,30,1005,1000,0.89,240,2024-02-21 05:48:03,2024-02-21 17:42:48,3600,39,Clouds,Kogi,9021,2024-02-21
NG,Bugana,7.9,7.51,313.0,313.0,313.0,1005,30,1005,994,1.91,31,2024-02-21 05:46:27,2024-02-21 17:41:11,3600,46,Clouds,Kogi,11026,2024-02-21
NG,Lokoja,7.89,6.75,313.61,313.61,313.61,1005,29,1005,998,1.37,214,2024-02-21 05:49:29,2024-02-21 17:44:14,3600,34,Clouds,Kogi,8819,2024-02-21
NG,Dekina,7.93,7.15,313.79,313.79,313.79,1005,29,1005,1001,0.67,253,2024-02-21 05:47:55,2024-02-21 17:42:36,3600,40,Clouds,Kogi,7790,2024-02-21
NG,Kabba,7.76,6.11,310.81,310.81,310.81,1007,28,1007,960,1.12,191,2024-02-21 05:51:57,2024-02-21 17:46:54,3600,80,Clouds,Kogi,4293,2024-02-21
NG,Ankpa,7.29,7.53,312.61,312.61,312.61,1006,29,1006,981,1.17,268,2024-02-21 05:45:55,2024-02-21 17:41:34,3600,64,Clouds,Kogi,12659,2024-02-21
NG,Bugana,7.98,7.3,313.59,313.59,313.59,1005,29,1005,996,0.88,343,2024-02-21 05:47:22,2024-02-21 17:41:58,3600,44,Clouds,Kogi,7671,2024-02-21
NG,Bugana,7.9,7.42,312.41,312.41,312.41,1005,30,1005,983,1.32,16,2024-02-21 05:46:49,2024-02-21 17:41:33,3600,44,Clouds,Kogi,10787,2024-02-21
NG,Dekina,7.65,6.97,311.71,311.71,311.71,1006,32,1006,982,1.47,225,2024-02-21 05:48:26,2024-02-21 17:43:32,3600,39,Rain,Kogi,13223,2024-02-21
NG,Ete,7.31,7.27,311.22,311.22,311.22,1006,31,1006,975,1.97,227,2024-02-21 05:46:58,2024-02-21 17:42:36,3600,52,Clouds,Kogi,11430,2024-02-21
NG,Dekina,7.85,7.12,313.06,313.06,313.06,1006,30,1006,995,1.05,249,2024-02-21 05:47:59,2024-02-21 17:42:47,3600,39,Clouds,Kogi,9238,2024-02-21
NG,Icheu,7.67,6.78,313.31,313.31,313.31,1006,31,1006,998,1.35,204,2024-02-21 05:49:12,2024-02-21 17:44:17,3600,28,Clouds,Kogi,9115,2024-02-21
NG,Kabba,7.93,6.36,312.2,312.2,312.2,1006,27,1006,969,0.5,159,2024-02-21 05:51:05,2024-02-21 17:45:46,3600,52,Clouds,Kogi,2504,2024-02-21
NG,Dekina,7.69,7.04,312.25,312.25,312.25,1006,32,1006,991,1.45,237,2024-02-21 05:48:11,2024-02-21 17:43:14,3600,41,Rain,Kogi,12328,2024-02-21
NG,Kabba,7.95,6.0,311.4,311.4,311.4,1007,25,1007,958,0.32,263,2024-02-21 05:52:32,2024-02-21 17:47:11,3600,83,Clouds,Kogi,9387,2024-02-21
NG,Dekina,7.83,7.05,312.94,312.94,312.94,1006,31,1006,995,1.16,234,2024-02-21 05:48:15,2024-02-21 17:43:05,3600,39,Rain,Kogi,9238,2024-02-21
